time,seconds_elapsed,z,y,x
1782969683565479200,0.063479248046875,-0.9802093505859375,-0.144317626953125,-0.06695556640625
1782969683575405000,0.073405029296875,-0.9748687744140625,-0.1512451171875,-0.070648193359375
1782969683585332200,0.083332275390625,-0.9730987548828125,-0.1477508544921875,-0.067779541015625
1782969683595258000,0.093258056640625,-0.97149658203125,-0.1432342529296875,-0.062408447265625
1782969683605184000,0.10318408203125,-0.9818878173828125,-0.1436614990234375,-0.069854736328125
1782969683615111200,0.113111083984375,-0.9940185546875,-0.1539306640625,-0.0633392333984375
1782969683625037300,0.123037353515625,-0.9982757568359375,-0.132659912109375,-0.0943145751953125
1782969683634963000,0.132962890625,-1.0091094970703125,-0.1263580322265625,-0.1118011474609375
1782969683644890000,0.14289013671875,-1.0230255126953125,-0.15582275390625,-0.1120147705078125
1782969683654816300,0.152816162109375,-1.0207672119140625,-0.17144775390625,-0.1157379150390625
1782969683664742100,0.1627421875,-1.0107421875,-0.169891357421875,-0.1113128662109375
1782969683674669000,0.1726689453125,-0.996734619140625,-0.161224365234375,-0.087646484375
1782969683684595200,0.18259521484375,-0.998077392578125,-0.148590087890625,-0.0452423095703125
1782969683694521000,0.19252099609375,-1.0001678466796875,-0.126617431640625,-0.013580322265625
1782969683704447000,0.202447021484375,-0.987457275390625,-0.1244659423828125,-0.005615234375
1782969683714374100,0.2123740234375,-0.969329833984375,-0.1492156982421875,-0.0203094482421875
1782969683724300000,0.222300048828125,-0.95794677734375,-0.1800384521484375,-0.01690673828125
1782969683734226200,0.23222607421875,-0.9390716552734375,-0.187835693359375,-0.0342559814453125
1782969683744153300,0.2421533203125,-0.9256134033203125,-0.1754913330078125,-0.0895233154296875
1782969683754079000,0.252078857421875,-0.936431884765625,-0.1602325439453125,-0.109954833984375
1782969683764005000,0.262005126953125,-0.9497528076171875,-0.1502685546875,-0.0969390869140625
1782969683773932300,0.271932373046875,-0.971405029296875,-0.148406982421875,-0.0559844970703125
