time,seconds_elapsed,z,y,x
1782951246066267600,0.050267578125,-1.029571533203125,-0.134033203125,-0.0826416015625
1782951246076193500,0.060193603515625,-1.0165557861328125,-0.141876220703125,-0.0911102294921875
1782951246086120700,0.07012060546875,-0.99224853515625,-0.1684417724609375,-0.06927490234375
1782951246096047600,0.080047607421875,-0.966156005859375,-0.174407958984375,-0.0719451904296875
1782951246105974800,0.089974853515625,-0.957977294921875,-0.1729888916015625,-0.09283447265625
1782951246115900400,0.099900390625,-0.9612274169921875,-0.169036865234375,-0.1072845458984375
1782951246125827600,0.10982763671875,-0.96063232421875,-0.1683502197265625,-0.1089630126953125
1782951246135754500,0.11975439453125,-0.9490814208984375,-0.1605224609375,-0.11468505859375
1782951246145681700,0.129681640625,-0.9332733154296875,-0.1661834716796875,-0.1051025390625
1782951246155607800,0.13960791015625,-0.9239349365234375,-0.171722412109375,-0.1048583984375
1782951246165534700,0.14953466796875,-0.93743896484375,-0.1741943359375,-0.0982513427734375
1782951246175461600,0.159461669921875,-0.969879150390625,-0.170989990234375,-0.0957183837890625
1782951246185388500,0.169388427734375,-1.009765625,-0.1621856689453125,-0.0944671630859375
1782951246195314700,0.179314697265625,-1.048614501953125,-0.1440582275390625,-0.1036376953125
1782951246205241600,0.18924169921875,-1.06671142578125,-0.1246337890625,-0.1041717529296875
1782951246215168800,0.199168701171875,-1.0582275390625,-0.0890045166015625,-0.074615478515625
1782951246225095700,0.209095703125,-1.0200958251953125,-0.087554931640625,-0.076568603515625
1782951246235021600,0.219021484375,-0.9869232177734375,-0.11822509765625,-0.0818328857421875
1782951246244948700,0.22894873046875,-0.9810333251953125,-0.15521240234375,-0.0670928955078125
1782951246254875600,0.238875732421875,-0.999359130859375,-0.184051513671875,-0.058837890625
1782951246264802800,0.248802734375,-1.004425048828125,-0.1890869140625,-0.0570220947265625
1782951246274728400,0.258728515625,-0.9927520751953125,-0.1841888427734375,-0.0647430419921875
1782951246284655600,0.268655517578125,-0.9692840576171875,-0.18267822265625,-0.072784423828125
1782951246294582500,0.27858251953125,-0.9493255615234375,-0.18505859375,-0.0760955810546875
1782951246304509700,0.288509765625,-0.947418212890625,-0.1997222900390625,-0.0810394287109375
1782951246314435800,0.298435791015625,-0.9488525390625,-0.2220458984375,-0.08917236328125
1782951246324362500,0.308362548828125,-0.94195556640625,-0.233673095703125,-0.0972442626953125
1782951246334289700,0.31828955078125,-0.933868408203125,-0.226806640625,-0.11785888671875
1782951246344216600,0.328216552734375,-0.93359375,-0.1920013427734375,-0.110748291015625
1782951246354142700,0.338142822265625,-0.94110107421875,-0.180938720703125,-0.095550537109375
1782951246364069600,0.348069580078125,-0.9654693603515625,-0.197967529296875,-0.0982513427734375
1782951246373996800,0.357996826171875,-0.991455078125,-0.1976318359375,-0.10968017578125
1782951246383923500,0.36792333984375,-1.01513671875,-0.1915435791015625,-0.1130218505859375
1782951246393849600,0.377849609375,-1.0329437255859375,-0.19482421875,-0.124053955078125
1782951246403776800,0.38777685546875,-1.0382232666015625,-0.1914520263671875,-0.1226959228515625
1782951246413703700,0.39770361328125,-1.02923583984375,-0.187225341796875,-0.1180419921875
1782951246423630600,0.407630615234375,-1.0116424560546875,-0.186309814453125,-0.1116790771484375
1782951246433556500,0.417556396484375,-0.99151611328125,-0.18060302734375,-0.1064300537109375
1782951246443483600,0.427483642578125,-0.9771728515625,-0.1800537109375,-0.0979766845703125
1782951246453410600,0.43741064453125,-0.9644927978515625,-0.183135986328125,-0.087646484375
