time,seconds_elapsed,z,y,x
1782969985177569000,0.065569091796875,-0.9983978271484375,-0.013641357421875,-0.015472412109375
1782969985187496000,0.075495849609375,-0.997802734375,-0.0136260986328125,-0.015350341796875
1782969985197422000,0.085422119140625,-0.9964447021484375,-0.01422119140625,-0.0162811279296875
1782969985207348000,0.095347900390625,-0.99871826171875,-0.0135498046875,-0.016845703125
1782969985217275000,0.10527490234375,-0.99884033203125,-0.0132598876953125,-0.0176239013671875
1782969985227201000,0.115200927734375,-0.997955322265625,-0.0124359130859375,-0.0159454345703125
1782969985237127200,0.125127197265625,-0.998046875,-0.0124664306640625,-0.016387939453125
1782969985247053800,0.1350537109375,-0.9982147216796875,-0.0125579833984375,-0.015960693359375
1782969985256980000,0.14497998046875,-0.9976806640625,-0.01495361328125,-0.0178375244140625
1782969985266907000,0.154906982421875,-0.9972991943359375,-0.01361083984375,-0.0157928466796875
1782969985276833000,0.1648330078125,-0.9963226318359375,-0.013397216796875,-0.0167999267578125
1782969985286759000,0.174759033203125,-0.9984893798828125,-0.012542724609375,-0.01629638671875
1782969985296685800,0.184685791015625,-0.998931884765625,-0.0117340087890625,-0.0151519775390625
1782969985306612000,0.194612060546875,-0.9976959228515625,-0.011444091796875,-0.01629638671875
1782969985316537900,0.204537841796875,-0.996826171875,-0.0135955810546875,-0.0159912109375
1782969985326464800,0.21446484375,-0.997711181640625,-0.0118255615234375,-0.0163116455078125
1782969985336391000,0.224390869140625,-0.9980010986328125,-0.0118560791015625,-0.016693115234375
1782969985346317000,0.234317138671875,-0.998260498046875,-0.012969970703125,-0.0168304443359375
1782969985356244000,0.244243896484375,-0.9981231689453125,-0.013031005859375,-0.0164337158203125
1782969985366169900,0.254169921875,-0.9969635009765625,-0.0130157470703125,-0.0146636962890625
1782969985376096800,0.2640966796875,-0.9981536865234375,-0.013763427734375,-0.0174102783203125
1782969985386023000,0.27402294921875,-0.9980926513671875,-0.01287841796875,-0.01593017578125
1782969985395948500,0.283948486328125,-0.9991455078125,-0.0126800537109375,-0.0152130126953125
1782969985405875700,0.293875732421875,-0.9979400634765625,-0.0133056640625,-0.0176239013671875
1782969985415801900,0.3038017578125,-0.9969329833984375,-0.011871337890625,-0.0170745849609375
1782969985425727700,0.313727783203125,-0.997711181640625,-0.0113983154296875,-0.0168304443359375
1782969985435654700,0.323654541015625,-0.997344970703125,-0.0134429931640625,-0.015838623046875
1782969985445580800,0.333580810546875,-0.9983062744140625,-0.014312744140625,-0.015594482421875
1782969985455506700,0.343506591796875,-0.997344970703125,-0.0142822265625,-0.0160675048828125
1782969985465433900,0.353433837890625,-0.998077392578125,-0.012725830078125,-0.01654052734375
1782969985475359700,0.36335986328125,-0.99822998046875,-0.0123291015625,-0.0166778564453125
1782969985485286700,0.37328662109375,-0.9970245361328125,-0.01202392578125,-0.017791748046875
1782969985495212800,0.383212890625,-0.997283935546875,-0.0129547119140625,-0.0168609619140625
1782969985505138700,0.393138671875,-0.9969024658203125,-0.0118865966796875,-0.0169677734375
1782969985515065600,0.403065673828125,-0.9977569580078125,-0.012603759765625,-0.015594482421875
1782969985524991700,0.41299169921875,-0.9981231689453125,-0.0134124755859375,-0.0154266357421875
1782969985534918000,0.42291796875,-0.9985504150390625,-0.01263427734375,-0.0174713134765625
1782969985544844500,0.432844482421875,-0.99774169921875,-0.0133819580078125,-0.0171661376953125
1782969985554770700,0.442770751953125,-0.9971160888671875,-0.01214599609375,-0.016815185546875
1782969985564696800,0.45269677734375,-0.997589111328125,-0.0128021240234375,-0.01739501953125
