time,seconds_elapsed,z,y,x
1782952450994859800,0.06285986328125,-1.9559326171875,-0.1242828369140625,-0.2798614501953125
1782952451004787700,0.07278759765625,-1.7179412841796875,-0.12823486328125,-0.2529754638671875
1782952451014714600,0.082714599609375,-1.575592041015625,-0.168853759765625,-0.1474151611328125
1782952451024641800,0.092641845703125,-1.49896240234375,-0.1870574951171875,-0.080596923828125
1782952451034568700,0.102568603515625,-1.42962646484375,-0.1930084228515625,-0.0768585205078125
1782952451044495600,0.11249560546875,-1.3439178466796875,-0.1606597900390625,-0.0902252197265625
1782952451054423600,0.122423583984375,-1.188079833984375,-0.1107330322265625,-0.0757598876953125
1782952451064350700,0.132350830078125,-1.043731689453125,-0.05419921875,-0.0933685302734375
1782952451074277600,0.142277587890625,-0.907196044921875,-0.0364227294921875,-0.0944671630859375
1782952451084204800,0.152204833984375,-0.797943115234375,-0.0495758056640625,-0.0807952880859375
1782952451094132700,0.1621328125,-0.668365478515625,-0.0718841552734375,-0.103057861328125
1782952451104059600,0.1720595703125,-0.5562896728515625,-0.0897979736328125,-0.115325927734375
1782952451113986800,0.18198681640625,-0.47320556640625,-0.1012115478515625,-0.09552001953125
1782952451123913700,0.191913818359375,-0.39068603515625,-0.1281890869140625,-0.022857666015625
1782952451133841700,0.201841552734375,-0.347412109375,-0.173492431640625,0.0602264404296875
1782952451143768800,0.211768798828125,-0.35601806640625,-0.21807861328125,0.1431732177734375
1782952451153695500,0.221695556640625,-0.427764892578125,-0.2498779296875,0.180694580078125
1782952451163622700,0.23162255859375,-0.4787445068359375,-0.23223876953125,0.130645751953125
1782952451173550600,0.241550537109375,-0.4185943603515625,-0.162445068359375,0.0639495849609375
1782952451183477800,0.251477783203125,-0.38116455078125,-0.0780487060546875,0.008514404296875
1782952451193404700,0.26140478515625,-0.3983154296875,-0.0092315673828125,-0.05364990234375
1782952451203331600,0.27133154296875,-0.418243408203125,0.0334014892578125,-0.1082305908203125
1782952451213258800,0.2812587890625,-0.4486541748046875,0.0583343505859375,-0.0900421142578125
